 adame curie meeting room	madame curie meeting room
 akers0acr 2	makerspace 2
 ash living laboratory	nash living laboratory
 aterials characteriration laboratorh	materials characterisation laboratory
 ehavioural design laboratory 1	behavioural design laboratory 1
 ehqvioural desigb laboeatory 1	behavioural design laboratory 1
 etal sheet sectikn	sheet metal section
 etal sheet section	sheet metal section
 ikola meeting tesla room	nikola tesla meeting room
 ikola tesla meeting room	nikola tesla meeting room
 ikola tesla meeting toom	nikola tesla meeting room
 ikola tesla roomnmeeting	nikola tesla meeting room
 inh think tank 1	mini think tank 1
 ini tajk think 7	mini think tank 7
 ini think tank 3	mini think tank 3
 ini yhinkbtank 4	mini think tank 4
 skerspace 1	makerspace 1
 ultim3dia room 1	multimedia room 1
 ultimedia room 2	multimedia room 2
 ultipurpose room	multipurpose room
,7ni think tank 2	mini think tank 2
,abora5ories temasek and it3ust lahoratory 8	temasek laboratories and itrust laboratory 8
,aboratory beats	beats laboratory
,aboratory cjmputes	computer laboratory
,aboratory opportuni3f	opportunity laboratory
,aser aectiom cutting	laser cutting section
,aser section cutting	laser cutting section
,aterizls ,aboratory characterisafion	materials characterisation laboratory
,earning environ ent 2xperime tal for technology ,aboratory	learning environment for experimental technology laboratory
,ecture 2 theatre	lecture theatre 2
,ibi think tank 6	mini think tank 6
,ibrary	library
,ini tank think 13	mini think tank 13
,ini tank think 5	mini think tank 5
,ini tank think 7	mini think tank 7
,ini tank thonk 13	mini think tank 13
,ini think 7 tank	mini think tank 7
,ini think 9 tank	mini think tank 9
,ini think tank 1	mini think tank 1
,ini think tank 3	mini think tank 3
,inu think tank 5	mini think tank 4
.abo3atory electronic	electronic laboratory
.abora4ory fabrication	fabrication laboratory
.aboratory opporthnuty	opportunity laboratory
.aborayory physics	physics laboratory
.agoratory beats	beats laboratory
.ibrary	library
.ogistics centre	logistics centre
1 atudoo	studio 1
1 jakerspace	makerspace 1
1 mak2rs0ace	makerspace 1
1 make2space	makerspace 1
1 makeespace	makerspace 1
1 makers;axe	makerspace 1
1 makerspac2	makerspace 1
1 makerspaca	makerspace 1
1 makerspace	makerspace 1
1 makerspave	makerspace 1
1 makerspece	makerspace 1
1 makerspqce	makerspace 1
1 maksrspace	makerspace 1
1 mamerspace	makerspace 1
1 mamerspade	makerspace 1
1 mekerspace	makerspace 1
1 mekerspacs	makerspace 1
1 mqkerspace	makerspace 1
1 sdudio	studio 1
1 sgudio	studio 1
1 st6dio	studio 1
1 sthdio	studio 1
1 stucik	studio 1
1 studho	studio 1
1 studi7	studio 1
1 studil	studio 1
1 studio	studio 1
1 studio	studio 2
1 studip	studio 1
1 studjo	studio 1
1 studoo	studio 1
1 stufio	studio 1
1 stutio	studio 1
1 stuxio	studio 1
1bmakerspace	makerspace 1
1mmakerspace	makerspace 1
1nmakerspace	makerspace 1
1nmaksrspace	makerspace 1
1ns5udi7	studio 1
1nstudio	studio 1
1ood store	wood store
1riyht brothers mee5ibg room	wright brothers meeting room
2 dtudio	studio 2
2 majerspace	makerspace 2
2 mak1rspace	makerspace 2
2 mak3rspace	makerspace 2
2 makedspace	makerspace 2
2 makers9ace	makerspace 2
2 makerslace	makerspace 2
2 makerspade	makerspace 2
2 makerspsce	makerspace 2
2 makwrspace	makerspace 2
2 maperspace	makerspace 2
2 mskerspace	makerspace 2
2 mzkerspace	makerspace 2
2 s3udio	studio 2
2 sthdi9	studio 2
2 stucio	studio 2
2 stud6o	studio 2
2 stud8o	studio 2
2 studho	studio 2
2 studii	studio 2
2 studij	studio 2
2 studio	studio 3
2 studjo	studio 2
2 studoo	studio 2
2 stuxio	studio 2
2 stydio	studio 2
2 wtudio	studio 2
2bmajerspace	makerspace 2
2bmakerspace	makerspace 2
2bstudio	studio 2
2ell-being services room	well-being services room
2mst6dio	studio 2
2mstudio	studio 2
2ngin3ering sys4ems and desugn research ;aboratory 1	engineering systems and design research laboratory 1
2nmakerspace	makerspace 2
2nmaketspace	makerspace 2
2nstudio	studio 2
2oodwork section	woodwork section
2oom capstone 3	capstone room 3
2oom trainijg	training room
2vmakerspace	makerspace 2
3 dtudii	studio 3
3 dtudio	studio 3
3 makerspace	makerspace 2
3 s4udio	studio 3
3 s5udio	studio 3
3 sdudio	studio 3
3 sgudio	studio 4
3 stgxio	studio 3
3 studio	studio 2
3 studio	studio 3
3 studio	studio 4
3 stufio	studio 3
3 stuti9	studio 3
3 stutio	studio 3
3 wtudio	studio 3
3 ztudio	studio 3
3ank think 11	think tank 11
3ank think 16	think tank 16
3ank think 1y	think tank 16
3ank think 22	think tank 22
3ank think 23	think tank 23
3anknthink 12	think tank 12
3bstusio	studio 3
3echnology office	technology office
3emasek laborat9ries and itrust laboratory 8	temasek laboratories and itrust laboratory 8
3emasekblaboratories and itrust laboratory 4	temasek laboratories and itrust laboratory 4
3emaseknlaboratories amd laboratory idrust 9	temasek laboratories and itrust laboratory 9
3heatre lecture 5	lecture theatre 5
3hijk 5 tank	think tank 5
3hink 15 tank	think tank 15
3hink 2 tank	think tank 2
3hink 4 fqnk	think tank 4
3hink 9mtank	think tank 9
3hink kknh twn, 6	mini think tank 6
3hink tabkv18	think tank 18
3hink tani 21	think tank 21
3hink tank 2	think tank 2
3hink tanl 12	think tank 12
3lectronic d2sign laboratory	electronic design laboratory
3mstudio	studio 3
3oom capztone 4	capstone room 4
3vs4udio	studio 3
3vstudio	studio 3
3vstudip	studio 3
4 atudio	studio 4
4 rtudio	studio 4
4 s3udio	studio 4
4 sfudio	studio 4
