"-", " "
"-", " dash "
"-", " hyphen "
".", " dot "
".", " point "
"architecture and sustainable design", "asd"
"at", "@"
"career development centre", "cdc"
"cohort classroom", "cc"
"design and research in extreme systems", "dares"
"digital manufacturing and design", "dmand"
"digital systems", "ds"
"engineering product development", "epd"
"engineering systems and design", "esd"
"facilities management", "fm"
"fire command centre", "fcc"
"graduate studies centre", "gsc"
"humanities, arts, and social sciences", "hass"
"industrial design", "ider"
"information systems technology and design", "istd"
"information technology", "it"
"innovative digital arts", "idia"
"learning environment for experimental technology", "leet"
"lecture theatre", "lt"
"lee kuan yew", "lky"
"lee kuan yew centre for innovative cities", "lkycic"
"opportunity", "o"
"opportunity laboratory", "o-lab"
"singapore management university", "smu"
"singapore university of technology and design", "sutd"
"student activity centre", "sac"
"temasek laboratories", "tl"
"think tank", "tt"
"three-dimensional", "3d"
"zhejiang university", "zju"
"–", " "
"–", "and"
